sigma,lambda,under_priced_share,worse_than_committed_share,mae_revisable,mae_committed
0.0,0.5,1.0,0.0,0.5,1.0
0.25,0.5,1.0,0.0,0.49986756917400926,1.0
0.5,0.5,1.0,0.0,0.49973513834801847,1.0
0.75,0.5,1.0,0.0,0.4996027075220278,1.0
1.0,0.5,1.0,0.0,0.49947027669603694,1.0
1.25,0.5,0.900885,0.098665,0.5116686001962752,1.0
1.5,0.5,0.83412,0.165615,0.5405119528559447,1.0
2.0,0.5,0.7496,0.249415,0.6233930323954289,1.0
2.5,0.5,0.699415,0.29974,0.7231294350599353,1.0
3.0,0.5,0.665365,0.332925,0.8312819937358922,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.25,1.0,0.498655,0.0,0.12489796383600288,1.0
0.5,1.0,0.498655,0.0,0.24979592767200576,1.0
0.75,1.0,0.498655,0.0,0.3746938915080085,1.0
1.0,1.0,0.498655,0.0,0.4995918553440115,1.0
1.25,1.0,0.498655,0.19778,0.6244898191800141,1.0
1.5,1.0,0.498655,0.331495,0.749387783016017,1.0
2.0,1.0,0.498655,0.499815,0.999183710688023,1.0
2.5,1.0,0.498655,0.600325,1.2489796383600282,1.0
3.0,1.0,0.498655,0.66756,1.498775566032034,1.0
0.0,1.5,0.0,0.0,0.5,1.0
0.25,1.5,0.0,0.0,0.5003972924779723,1.0
0.5,1.5,0.165615,0.16588,0.5420294243848672,1.0
0.75,1.5,0.277415,0.278335,0.673707695451696,1.0
1.0,1.5,0.332925,0.334635,0.8333275100230725,1.0
1.25,1.5,0.365905,0.46664,1.0040406112126623,1.0
1.5,1.5,0.388925,0.55577,1.1803199726813465,1.0
2.0,1.5,0.41639,0.6675,1.5413455529956799,1.0
2.5,1.5,0.433055,0.73502,1.9038175738574243,1.0
3.0,1.5,0.443855,0.779035,2.2223589931728487,1.0
