theta,k,rule,a1,m1,a2,m2,payoff,mispricing,welfare,deviation_gain
1,0.5,committed,1,1.0,1,1.0,2.0,0.0,3.0,1.0
1,0.5,revisable,1,0.0,1,1.0,2.496934889751529,0.9984674448757643,3.5,0.5000000000000002
1,1.0,committed,1,0.0,1,0.0,1.0,1.0,4.0,0.0
1,1.0,revisable,1,0.0,1,0.0,1.9969348897515287,0.6251992358486114,4.0,0.0
1,2.0,committed,1,0.0,1,0.0,1.0,1.0,4.0,0.0
1,2.0,revisable,1,0.0,1,0.0,1.9969348897515287,0.6251992358486114,4.0,0.0
2,0.5,committed,1,1.0,1,1.0,4.0,0.0,5.0,1.0
2,0.5,revisable,1,0.0,1,1.0,4.49693488975153,0.9984674448757643,5.5,0.5000000000000009
2,1.0,committed,1,0.0,1,0.0,3.0,1.0,6.0,0.0
2,1.0,revisable,1,0.0,1,0.0,3.996934889751529,0.6251992358486114,6.0,0.0
2,2.0,committed,1,0.0,1,0.0,3.0,1.0,6.0,0.0
2,2.0,revisable,1,0.0,1,0.0,3.996934889751529,0.6251992358486114,6.0,0.0
3,0.5,committed,1,1.0,1,1.0,6.0,0.0,7.0,1.0
3,0.5,revisable,1,0.0,1,1.0,6.49693488975153,0.9984674448757643,7.5,0.5
3,1.0,committed,1,0.0,1,0.0,5.0,1.0,8.0,0.0
3,1.0,revisable,1,0.0,1,0.0,5.99693488975153,0.6251992358486114,8.0,0.0
3,2.0,committed,1,0.0,1,0.0,5.0,1.0,8.0,0.0
3,2.0,revisable,1,0.0,1,0.0,5.99693488975153,0.6251992358486114,8.0,0.0
