seed,theta,k,eps1,eps2,both_zero
0,1,0.5,-0.5,-0.5,0.0
1,2,0.5,0.0,0.5,0.0
2,3,0.5,-0.5,0.0,0.0
3,3,0.5,0.0,-0.5,0.0
4,3,0.5,-0.5,-0.5,0.0
5,3,2.0,-0.5,0.0,0.0
6,2,0.5,0.0,-0.5,0.0
7,1,0.5,0.5,0.5,0.0
8,1,1.0,-0.5,0.5,0.0
9,1,2.0,-0.5,0.5,0.0
10,2,2.0,0.5,0.5,0.0
11,2,1.0,0.0,0.0,1.0
12,1,0.5,0.0,0.5,0.0
13,2,1.0,-0.5,-0.5,0.0
14,2,1.0,0.0,0.0,1.0
15,1,1.0,0.0,0.0,1.0
16,2,0.5,0.5,0.0,0.0
17,3,0.5,0.0,-0.5,0.0
18,2,1.0,0.0,-0.5,0.0
19,1,0.5,0.0,0.5,0.0
20,3,1.0,0.0,-0.5,0.0
21,2,1.0,-0.5,0.0,0.0
22,2,0.5,-0.5,-0.5,0.0
23,1,0.5,0.0,-0.5,0.0
24,1,2.0,-0.5,-0.5,0.0
25,2,2.0,0.0,0.5,0.0
26,2,2.0,0.0,-0.5,0.0
27,2,0.5,-0.5,-0.5,0.0
28,2,2.0,0.5,0.5,0.0
29,1,0.5,-0.5,-0.5,0.0
30,3,2.0,0.0,-0.5,0.0
31,3,2.0,0.5,-0.5,0.0
32,2,2.0,-0.5,0.5,0.0
33,2,2.0,0.0,-0.5,0.0
34,2,2.0,-0.5,0.0,0.0
35,1,1.0,0.5,0.5,0.0
36,3,2.0,-0.5,-0.5,0.0
37,2,2.0,-0.5,0.5,0.0
38,3,2.0,-0.5,0.5,0.0
39,1,2.0,0.0,-0.5,0.0
40,2,2.0,-0.5,0.5,0.0
41,3,1.0,0.0,0.0,1.0
42,2,1.0,0.5,0.5,0.0
43,3,0.5,0.0,-0.5,0.0
44,3,0.5,-0.5,0.5,0.0
45,1,2.0,0.5,0.0,0.0
46,1,2.0,0.0,0.5,0.0
47,2,0.5,0.0,0.0,1.0
48,3,1.0,-0.5,-0.5,0.0
49,2,1.0,0.5,-0.5,0.0
50,2,0.5,0.0,-0.5,0.0
51,1,0.5,0.0,-0.5,0.0
52,1,0.5,0.0,0.5,0.0
53,1,2.0,-0.5,0.5,0.0
54,1,1.0,-0.5,0.0,0.0
55,2,2.0,0.5,0.5,0.0
56,1,1.0,0.5,-0.5,0.0
57,3,0.5,-0.5,0.0,0.0
58,2,1.0,0.5,-0.5,0.0
59,2,1.0,-0.5,-0.5,0.0
60,1,0.5,-0.5,0.0,0.0
61,2,2.0,0.5,0.5,0.0
62,3,0.5,-0.5,0.0,0.0
63,1,0.5,-0.5,-0.5,0.0
64,3,1.0,0.0,-0.5,0.0
65,1,1.0,0.0,0.5,0.0
66,1,0.5,-0.5,0.5,0.0
67,3,1.0,0.0,0.0,1.0
68,2,0.5,-0.5,0.5,0.0
69,3,0.5,0.5,0.5,0.0
70,3,0.5,-0.5,0.0,0.0
71,3,0.5,0.0,0.5,0.0
72,1,0.5,-0.5,-0.5,0.0
73,3,2.0,0.5,-0.5,0.0
74,1,2.0,0.5,0.0,0.0
75,1,0.5,0.5,-0.5,0.0
76,2,2.0,0.5,-0.5,0.0
77,2,0.5,0.5,0.0,0.0
78,2,0.5,0.0,0.0,1.0
79,1,2.0,0.5,0.0,0.0
80,3,2.0,0.5,-0.5,0.0
81,3,0.5,0.0,0.0,1.0
82,3,2.0,0.0,0.0,1.0
83,3,0.5,0.0,0.0,1.0
84,2,1.0,0.5,0.0,0.0
85,2,1.0,0.5,-0.5,0.0
86,1,2.0,0.5,0.5,0.0
