lambda,sigma,rule,honest_share,manipulation,mispricing,welfare,deviation_gain,max_deviation_gain
0.0,1.5,revisable,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
0.25,1.5,revisable,0.6666666666666666,0.3333333333333333,0.6153994198576039,5.666666666666667,0.25,0.7500000000000002
0.5,1.5,revisable,0.6666666666666666,0.2222222222222222,0.70681203997611,5.777777777777778,0.1666666666666667,0.5000000000000004
0.75,1.5,revisable,0.6666666666666666,0.16666666666666666,0.8319328300298076,5.833333333333333,0.16666666666666666,0.5
1.0,1.5,revisable,0.6666666666666666,0.16666666666666666,0.9294082899877085,5.833333333333333,0.16666666666666655,0.5
1.25,1.5,revisable,0.6666666666666666,0.16666666666666666,1.0411884631061132,5.833333333333333,0.16666666666666666,0.5
1.5,1.5,revisable,0.6666666666666666,0.16666666666666666,1.1604483442121805,5.833333333333333,0.16666666666666666,0.5
1.75,1.5,revisable,0.6666666666666666,0.16666666666666666,1.2840243056320684,5.833333333333333,0.16666666666666666,0.5
2.0,1.5,revisable,0.6666666666666666,0.16666666666666666,1.410186719693627,5.833333333333333,0.16666666666666666,0.5
,1.5,committed,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.666666666666667,0.3333333333333333,1.0
